Player,Tier,Round
Patrick Mahomes,1.0,After 25
Lamar Jackson,1.0,After 25
Dak Prescott,2.0,Rounds 5-6
Russell Wilson,2.0,Rounds 5-6
Kyler Murray,2.0,Rounds 5-6
Deshaun Watson,2.0,Rounds 5-6
Tom Brady,3.0,Round 9
Matt Ryan,3.0,Round 9
Drew Brees,3.0,Round 9
Josh Allen,3.0,Round 9
Matthew Stafford,3.5,Round 9-10
Carson Wentz,3.5,Round 9-10
Ben Roethlisberger,4.0,Round 11+
Daniel Jones,4.0,Round 11+
Jared Goff,4.0,Round 11+
Aaron Rodgers,4.0,Round 11+
Cam Newton,4.0,Round 11+
Ryan Tannehill,5.0,Late
Gardner Minshew,5.0,Late
Joe Burrow,5.0,Late
Drew Lock,5.0,Late
Teddy Bridgewater,5.0,Late
Tyrod Taylor,5.0,Late
Christian McCaffrey,1.0,Round 1
Ezekiel Elliott,1.0,Round 1
Saquon Barkley,1.0,Round 1
Alvin Kamara,1.0,Round 1
Derrick Henry,1.0,Round 1
Dalvin Cook,1.5,Round 1
Clyde Edwards-Helaire,1.5,Round 1
Josh Jacobs,1.5,Round 1
Miles Sanders,1.5,Round 1
Joe Mixon,1.5,Round 1
Nick Chubb,1.5,Round 1
Austin Ekeler,2.0,Round 2
Kenyan Drake,2.0,Round 2
Aaron Jones,2.0,Round 2
James Conner,2.0,Round 2
Chris Carson,2.0,Round 2
Melvin Gordon,3.0,Between 35-50
Todd Gurley,3.0,Between 35-50
Ronald Jones,3.0,Between 35-50
Mark Ingram,3.0,Between 35-50
Le'Veon Bell,3.0,Between 35-50
Leonard Fournette,3.0,Between 35-50
David Johnson,4.0,Round 5
D'Andre Swift,4.0,Round 5
Cam Akers,4.0,Round 5
Raheem Mostert,4.0,Round 5
Jonathan Taylor,4.0,Round 5
Devin Singletary,4.0,Round 5
Michael Thomas,1.0,Top 20 Overall
Davante Adams,1.0,Top 20 Overall
Julio Jones,1.0,Top 20 Overall
Tyreek Hill,1.0,Top 20 Overall
DeAndre Hopkins,1.0,Top 20 Overall
Chris Godwin,1.0,Top 20 Overall
Cooper Kupp,2.0,Round 2-3
Kenny Golladay,2.0,Round 2-3
Calvin Ridley,2.0,Round 2-3
Tyler Lockett,2.0,Round 2-3
Mike Evans,2.0,Round 2-3
A.J. Brown,2.0,Round 2-3
Allen Robinson,2.0,Round 2-3
D.J. Moore,2.0,Round 2-3
Robert Woods,3.0,Round 4
Adam Thielen,3.0,Round 4
DK Metcalf,3.0,Round 4
JuJu Smith-Schuster,3.0,Round 4
Terry McLaurin,3.0,Round 4
Amari Cooper,3.0,Round 4
Odell Beckham,3.0,Round 4
D.J. Chark,3.0,Round 4
Courtland Sutton,4.0,Round 5-6
Marquise Brown,4.0,Round 5-6
Stefon Diggs,4.0,Round 5-6
A.J. Green,4.0,Round 5-6
Tyler Boyd,4.0,Round 5-6
Keenan Allen,4.0,Round 5-6
T.Y. Hilton,4.0,Round 5-6
Michael Gallup,4.0,Round 5-6
DeVante Parker,5.0,Round 7
Jarvis Landry,5.0,Round 7
Darius Slayton,5.0,Round 7
Diontae Johnson,5.0,Round 7
Brandin Cooks,5.0,Round 7
Will Fuller,5.0,Round 7
Preston Williams,6.0,Round 8-9
Jalen Reagor,6.0,Round 8-9
CeeDee Lamb,6.0,Round 8-9
Jerry Jeudy,6.0,Round 8-9
Julian Edelman,6.0,Round 8-9
Anthony Miller,6.0,Round 8-9
Henry Ruggs III,6.0,Round 8-9
Marvin Jones,6.0,Round 8-9
Christian Kirk,6.0,Round 8-9
Sterling Shepard,7.0,Round 10-11
DeSean Jackson,7.0,Round 10-11
Allen Lazard,7.0,Round 10-11
Mecole Hardman,7.0,Round 10-11
Breshad Perriman,7.0,Round 10-11
Steven Sims,7.0,Round 10-11
